title,rating,genre,popularity,member,duration,studios,aired
Nonton Kekkai Sensen & Beyond Sub Indo,7.78,"['Action', 'Fantasy', 'Shounen', 'Super Power', 'Vampire']",Popularity: #514,Members: 197430,Duration: 24 min per ep,Studios: Bones,"Aired: Oct 8, 2017 to Dec 24, 2017"
Nonton Kekkai Sensen & Beyond: Zapp Renfro Ingaouhouchuu!! Sub Indo,7.15,"['Action', 'Comedy', 'Fantasy', 'Shounen', 'Super Power', 'Vampire']",Popularity: #4237,Members: 10381,Duration: 25 min,Studios: Bones,"Aired: Jul 4, 2018"
Nonton Kekkai Sensen: Ousama no Restaurant no Ousama Sub Indo,7.37,"['Action', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']",Popularity: #3404,Members: 19765,Duration: 24 min,Studios: Bones,"Aired: Jun 3, 2016"
Nonton Kekkon Yubiwa Monogatari Sub Indo,6.1,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Isekai', 'Romance', 'Seinen']",Popularity: #2257,Members: 30064,Duration: 23 min per ep,Studios: Staple Entertainment,"Aired: Jan 6, 2024 to Mar 23, 2024"
Nonton Kemono Friends Sub Indo,7.55,"['Adventure', 'Anthropomorphic', 'Award Winning', 'Comedy', 'Fantasy', 'Iyashikei']",Popularity: #2346,Members: 33099,Duration: 24 min per ep,Studios: Yaoyorozu,"Aired: Jan 11, 2017 to Mar 29, 2017"
Nonton Kemono Friends 2 Sub Indo,5.83,"['Adventure', 'Anthropomorphic', 'Comedy', 'Iyashikei']",Popularity: #5079,Members: 6585,Duration: 22 min per ep,Studios: Tomason,"Aired: Jan 15, 2019 to Apr 2, 2019"
Nonton Kemono Jihen Sub Indo,7.38,"['Action', 'Fantasy', 'Mystery', 'Mythology', 'Shounen']",Popularity: #625,Members: 168296,Duration: 23 min per ep,Studios: Ajia-do,"Aired: Jan 10, 2021 to Mar 28, 2021"
Nonton Kemurikusa (TV) Sub Indo,7.16,"['Fantasy', 'Sci-Fi']",Popularity: #3956,Members: 10362,Duration: 23 min per ep,Studios: Yaoyorozu,"Aired: Jan 9, 2019 to Mar 27, 2019"
Nonton Kengan Ashura Sub Indo,7.45,"['Action', 'Martial Arts']",Popularity: #1456,Members: 82729,Duration: 24 min per ep,Studios: Larx Entertainment,"Aired: Jul 31, 2019"
Nonton Kengan Ashura 2nd Season Sub Indo,7.68,"['Action', 'Martial Arts']",Popularity: #2042,Members: 63626,Duration: 24 min per ep,Studios: Larx Entertainment,"Aired: Oct 31, 2019"
Nonton Kenja no Deshi wo Nanoru Kenja Sub Indo,6.33,"['Adventure', 'Fantasy', 'Isekai', 'Magical Sex Shift']",Popularity: #1798,Members: 50502,Duration: 23 min per ep,Studios: Studio A-CAT,"Aired: Jan 12, 2022 to Mar 30, 2022"
Nonton Kenja no Mago Sub Indo,6.62,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Romance']",Popularity: #372,Members: 339489,Duration: 23 min per ep,Studios: SILVER LINK.,"Aired: Apr 10, 2019 to Jun 26, 2019"
Nonton Kenka Banchou Otome: Girl Beats Boys Sub Indo,6.43,"['Action', 'Crossdressing', 'Delinquents', 'Martial Arts', 'School']",Popularity: #2334,Members: 37168,Duration: 8 min per ep,Studios: Project No.9,"Aired: Apr 12, 2017 to Jun 28, 2017"
Nonton Kenka Dokugaku Sub Indo,6.9,"['Action', 'School']",Popularity: #4299,Members: 3121,Duration: 22 min,Studios: Okuruto Noboru,"Aired: Apr 11, 2024 to ?"
Nonton Kenkou Zenrakei Suieibu Umishou Sub Indo,7.12,"['Comedy', 'Ecchi', 'School', 'Shounen', 'Sports']",Popularity: #3550,Members: 16694,Duration: 25 min per ep,Studios: Artland,"Aired: Jul 4, 2007 to Sep 26, 2007"
